@relation IndoorTempDynamics

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric
@attribute next-indoor-temp numeric

@data
9.4,41,23.7,24,2.838,24.1
9.3,41,24.1,24,2.838,24
9.2,41,24,24,2.943,24.1
9.2,41,24.1,24,2.899,24
9.3,41,24,24,2.925,24
9.3,41,24,24,2.886,24.1
9.3,41,24.1,24,2.968,24
9.3,41,24,24,2.993,24.1
9.4,41,24.1,24,3.036,24
9.6,41,24,24,3.05,24
9.6,41,24,24,3.059,23.9
9.6,41,23.9,24,3.104,23.9
9.8,41,23.9,24,3.073,24
9.8,41,24,24,3.021,24
10.1,41,24,24,3.066,24
10.4,41,24,24,3.081,24
10.4,41,24,24,3.135,24
10.4,41,24,24,3.135,24
10.4,41,24,24,2.935,24
10.5,41,24,24,2.844,24
10.6,41,24,24,2.857,24
10.9,41,24,24,2.847,24
11.4,41,24,24,2.847,24
11.8,41,24,24,2.771,23.9
11.7,41,23.9,24,2.825,23.9
11.6,41,23.9,24,2.849,24.1
12.1,41,24.1,24,2.849,24.1
11.9,41,24.1,24,2.929,24
12,41,24,24,2.994,24
12.6,41,24,24,2.797,24
9.8,42,18.3,24,0.995,22
9.7,42,22,24,3.084,23.1
9.8,42,23.1,24,3.084,23.2
9.6,42,23.2,24,3.016,23.4
9.7,42,23.4,24,2.901,23.8
9.8,42,23.8,24,2.7,24
9.7,42,24,24,2.588,24.1
9.6,42,24.1,24,2.569,24.2
9.6,42,24.2,24,2.569,24.3
9.6,42,24.3,24,2.298,24.3
9.7,42,24.3,24,2.385,24.3
9.8,42,24.3,24,2.295,24.3
9.7,42,24.3,24,2.227,24.3
9.7,42,24.3,24,2.251,24.4
9.8,42,24.4,24,2.244,24.3
10,42,24.3,24,2.207,24.2
10.2,42,24.2,24,2.285,24.3
10.3,42,24.3,24,2.298,24.3
10.9,42,24.3,24,2.393,24.3
11.1,42,24.3,24,2.411,24.2
11.5,42,24.2,24,2.493,24.1
11.9,42,24.1,24,2.558,24.1
