@relation PowerConsumption

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric

@data
7.3,42,22.7,24,3.617
8.4,42,23.7,24,3.8
7.3,42,24.4,24,3.289
7.2,40,23.7,24,3.493
7.3,42,22.9,24,3.819
6.6,42,23,24,3.846
7,41,23.2,24,3.88
7,41,23.4,24,3.888
7,41,23.8,24,4.011
6.8,41,24,24,3.972
6.6,41,24,24,3.931
6.5,41,24,24,3.891
6.5,41,24,24,3.758
7,41,24,24,3.656
6.5,41,24,24,3.604
7.2,41,24,24,3.627
7.1,41,24,24,3.519
7.1,41,24,24,3.466
7.1,41,24,24,3.399
7.1,41,24,24,3.332
7.1,41,24,24,3.317
7.1,41,24,24,3.24
7.1,41,24,24,3.275
7.1,41,23.9,24,3.115
6.1,41,23.9,24,3.298
6.5,41,23.2,24,3.476
6.7,41,22.8,24,3.74
6.4,41,22.9,24,3.848
7,41,23.3,24,4.026
7.6,41,23.8,24,3.927
8,41,23.9,24,3.842
7.4,41,23.4,24,2.756
7.5,41,22.8,24,3.905
7.6,41,22.9,24,4.26
7.9,41,23.1,24,4.297
8.7,41,23.4,24,4.784
8.9,41,22.2,24,6.257
9.2,41,22,24,5.731
4,42,24,24,0.017
8.5,41,23.9,24,2.863
8.2,41,23.9,24,2.832
8.5,41,24.1,24,2.845
8.4,41,24.1,24,2.811
9.5,41,24,24,2.794
8.8,41,24,24,2.852
8.8,41,24,24,2.834
8.6,41,24,24,2.855
8.4,41,24,24,2.795
8.2,41,24,24,2.821
8.4,41,24,24,2.832
8.6,41,24,24,2.824
9.8,41,23.9,24,2.798
11.3,41,23.9,24,2.804
4.2,40,18.5,24,1.169
4.4,42,21.9,24,2.256
4.1,42,23.1,24,2.256
4.4,42,23.4,24,2.256
4.2,42,23.6,24,2.23
4.6,42,23.8,24,2.154
4.9,42,24,24,2.115
4.8,42,24,24,1.909
4.4,42,24.1,24,1.871
4.3,42,24.2,24,1.822
4.5,42,24.2,24,1.94
4.2,42,24.1,24,1.862
4.6,42,24.1,24,1.843
5.1,42,24.2,24,2.299
5.2,42,24.2,24,2.246
4.4,42,24.1,24,2.251
4.5,42,24.2,24,2.244
4.8,42,24.2,24,2.244
5.1,42,24.2,24,2.213
6.8,42,24.2,24,2.335
6.8,42,24.2,24,2.313
6.2,42,24.2,24,2.199
7.6,42,24.1,24,2.245
10.7,42,24.2,24,2.237
11.7,42,24.2,24,2.182
13.1,42,24.3,24,2.216
12.6,42,24.1,24,2.278
12.5,42,24,24,2.319
12.5,42,24,24,2.318
14.6,42,24,24,2.397
15.9,42,24,24,2.488
10.7,41,24,24,2.377
10.5,41,23.9,24,2.417
10.2,41,23.9,24,2.501
11,41,24,24,2.576
11.9,41,24,24,2.636
10.5,41,24,24,2.741
11.3,41,24,24,2.726
10.7,41,24,24,2.804
11.2,41,24,24,2.803
11.3,41,24,24,2.789
12,41,24,24,2.654
12.4,41,24,24,2.608
12.8,41,24,24,2.6
12.2,41,24.1,24,2.6
13.6,41,23.9,24,2.642
15.1,41,23.4,24,3.146
12.2,42,22,24,5.431
13.3,42,21.6,24,6.563
12.4,42,21.4,24,4.094
12.1,42,21.4,24,3.031
11.5,42,17.4,24,1.108
11.5,42,20.9,24,2.734
11.5,42,22.5,24,3.008
11.4,42,22.8,24,2.893
11.3,42,23.1,24,2.976
11.2,42,23.5,24,3.074
11.2,42,23.6,24,3.028
11.1,42,23.8,24,2.937
11,42,23.9,24,2.583
10.9,42,24,24,2.544
11,42,24,24,2.607
11,42,24.1,24,2.508
11,42,24.1,24,2.515
11.2,42,24.1,24,2.339
11.4,42,24.2,24,2.269
11.5,42,24.2,24,2.214
11.5,42,24.2,24,2.248
11.7,42,24.2,24,2.145
13.4,42,24,24,2.322
13.2,42,24,24,2.479
14.3,42,24.1,24,2.545
13.5,42,24.1,24,2.595
13,42,24.2,24,2.65
12.8,42,24.2,24,2.724
13.1,42,24.2,24,2.818
14.1,42,24.1,24,2.89
16,42,24,24,2.868
17.3,42,24,24,2.879
17.1,42,23.9,24,2.793
17.2,42,23.8,24,2.81
17.8,42,23.7,24,2.883
17.2,42,23.7,24,2.789
17.9,42,23.6,24,2.824
15,42,23.6,24,2.934
15.7,42,23.5,24,2.914
15.6,42,23.5,24,3.06
15.8,42,23.5,24,3.001
16.5,42,23.5,24,3.129
16.6,42,23.5,24,3.171
16.1,42,23.5,24,3.305
15.6,42,23.5,24,3.36
15.1,42,23.5,24,3.36
15,42,23.6,24,3.46
15.9,42,23.6,24,3.733
15.3,42,23.6,24,3.833
14.9,42,23.6,24,3.81
15,42,23.7,24,3.81
15.1,42,23.7,24,3.848
14.7,42,23.7,24,3.916
15,42,23.7,24,3.916
14.8,42,23.8,24,4
14.9,42,23.8,24,4.039
15,42,23.9,24,3.959
15.4,42,23.9,24,3.948
15.5,42,23.9,24,3.902
15.5,42,24,24,3.878
15.6,42,24,24,3.863
15.5,42,24.1,24,3.816
15.7,42,24,24,3.773
15.1,42,24,24,3.669
14.9,42,24.1,24,3.638
14.7,42,24.2,24,3.508
14.5,42,24.2,24,3.507
14.5,42,24.2,24,3.409
14.2,42,24.2,24,2.185
14,42,24.2,24,2.183
14.1,42,24.3,24,2.156
14.1,42,24.4,24,2.119
13.9,42,24.4,24,1.971
13.9,42,24.4,24,1.985
13.9,42,23.8,24,2.005
13.8,42,22.3,24,3.685
13.9,42,21.7,24,3.201
13.9,42,21.6,24,2.71
13.8,42,21.6,24,2.198
13.7,42,19.7,24,1.1
13.6,42,22.8,24,3.48
13.5,42,23.3,24,3.072
13.6,42,23.4,24,2.888
13.6,42,23.7,24,2.778
13.5,42,23.9,24,2.722
13.5,42,23.9,24,2.651
13.5,42,23.9,24,2.611
13.6,42,23.9,24,2.508
13.5,42,23.9,24,2.381
13.5,42,24,24,2.494
13.6,42,24,24,2.494
13.7,42,24,24,2.334
13.6,42,24.1,24,2.361
13.7,42,24.1,24,2.293
13.8,42,24.2,24,2.365
13.7,42,24.2,24,2.333
13.9,42,24.3,24,2.333
13.9,42,24.4,24,2.407
13.9,41,24.5,24,2.35
14.1,41,23,24,3.049
14.2,41,23,24,3.52
14.6,41,23.1,24,3.729
13,42,21,24,1.345
13,42,23.5,24,3.602
12.7,42,23.9,24,2.963
13,42,24.1,24,2.938
12.9,41,24.2,24,2.86
12.9,41,24.4,24,2.642
12.7,41,24.5,24,2.231
12.8,41,23.1,24,3.004
16.3,42,21.5,24,1.329
16.1,42,23.5,24,3.454
16.2,42,24.3,24,3.454
16.2,41,22.9,24,3.332
16.2,41,23,24,3.381
9.9,42,21.7,24,2.31
10.1,42,23.7,24,3.267
9.8,42,24.3,24,2.873
10.8,42,24.3,24,2.93
10.1,41,23.2,24,3.26
9.6,41,23.1,24,3.26
9.3,41,23,24,3.703
9.4,41,23.2,24,3.879
9.4,41,23.5,24,3.852
10,41,23.9,24,4.228
10.1,41,24,24,4.228
10.3,41,24,24,4.295
11.6,42,20.7,24,1.302
