@relation ModeDynamics

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric
@attribute next-hvac-mode {40,41,42}

@data
14.4,41,24.3,24,3.171,41
14.5,41,24.3,24,2.956,41
15.4,41,24.3,24,3.028,41
14.8,41,24.3,24,3.028,41
15.3,41,24.2,24,2.86,41
16.3,41,24.1,24,2.834,41
16,41,23.9,24,2.833,41
17,41,23.8,24,2.942,41
17.6,41,23.7,24,2.964,41
16.9,41,23.5,24,3.455,41
16.8,41,23.5,24,3.839,41
16.8,41,23.6,24,3.9,41
17.6,41,23.7,24,3.858,41
17.5,41,23.7,24,4.063,41
18,41,23.6,24,4.037,41
17.3,41,23.6,24,4.182,41
17.5,41,23.8,24,4.32,41
17.5,41,23.8,24,4.335,41
16.5,41,23.8,24,4.364,41
17,41,24,24,4.299,41
17.5,41,24.1,24,4.081,41
17.1,41,24.1,24,3.639,41
16.6,41,24.1,24,3.532,41
16.6,41,24.2,24,2.316,41
16.1,41,23.3,24,2.299,41
14.9,41,23.1,24,2.404,41
14.4,41,23.2,24,2.453,41
14.1,41,23,24,2.547,41
13.8,41,22.1,24,3.613,42
13.8,42,22.1,24,3.187,42
14,42,22.1,24,3.19,42
11.3,42,19.9,24,1.085,42
11.4,42,23,24,3.494,42
11.3,42,23.6,24,3.197,42
11.3,42,23.9,24,2.821,42
11.1,42,24.2,24,2.576,42
11.1,42,24.3,24,2.407,42
11.1,42,24.5,24,2.31,42
11.1,41,23.1,24,2.755,41
11,41,23.1,24,3.092,41
10.9,41,23.3,24,3.138,41
11.3,41,23.4,24,3.357,41
11.4,41,23.5,24,3.345,41
11.5,41,24.2,24,3.188,41
9.9,41,24,24,3.698,41
10,41,24,24,3.584,41
10.1,41,24.1,24,3.463,41
10.3,41,24.1,24,3.41,41
10.5,41,23.7,24,3.56,41
9.3,42,21.1,24,1.088,42
9.3,42,23.6,24,3.228,42
9.2,42,24.1,24,3.228,42
9.5,42,24.1,24,2.486,42
9.2,42,24.3,24,2.37,40
9.6,40,24.5,24,2.147,40
9.1,40,23.6,24,2.526,41
9.2,41,23.1,24,2.945,41
9.3,41,23,24,2.945,41
9.3,41,23,24,3.458,41
9,41,23.3,24,3.838,41
9,41,23.9,24,3.803,41
9,41,24,24,3.656,41
9.2,41,24,24,3.433,41
9.4,41,24.1,24,3.432,41
9.6,41,24,24,3.458,41
9.9,41,24.1,24,3.544,41
10.1,41,24,24,3.465,41
10.6,41,24,24,3.477,41
10.6,41,23.9,24,3.397,41
10.8,41,23.9,24,3.324,41
11.7,41,24,24,3.341,41
11.6,41,24,24,3.226,41
8.7,42,20.9,24,1.957,42
8.2,42,23.6,24,3.098,42
7.8,42,24.2,24,2.722,42
7.7,42,24.2,24,2.717,42
8.1,42,24.4,24,2.445,40
7.8,40,24.5,24,2.087,40
7.8,40,24.5,24,1.866,42
8.1,42,23.1,24,2.541,42
8.3,42,22.6,24,2.968,42
7.3,42,22.7,24,3.617,42
8.4,42,23.7,24,3.8,42
7.3,42,24.4,24,3.289,40
7.2,40,23.7,24,3.493,42
7.3,42,22.9,24,3.819,42
6.6,42,23,24,3.846,41
7,41,23.2,24,3.88,41
7,41,23.4,24,3.888,41
7,41,23.8,24,4.011,41
6.8,41,24,24,3.972,41
6.6,41,24,24,3.931,41
6.5,41,24,24,3.891,41
6.5,41,24,24,3.758,41
7,41,24,24,3.656,41
6.5,41,24,24,3.604,41
7.2,41,24,24,3.627,41
7.1,41,24,24,3.519,41
7.1,41,24,24,3.466,41
7.1,41,24,24,3.399,41
7.1,41,24,24,3.332,41
7.1,41,24,24,3.317,41
7.1,41,24,24,3.24,41
7.1,41,24,24,3.275,41
7.1,41,23.9,24,3.115,41
6.5,41,23.2,24,3.476,41
6.7,41,22.8,24,3.74,41
6.4,41,22.9,24,3.848,41
7,41,23.3,24,4.026,41
7.6,41,23.8,24,3.927,41
7.4,41,23.4,24,2.756,41
7.5,41,22.8,24,3.905,41
7.6,41,22.9,24,4.26,41
7.9,41,23.1,24,4.297,41
8.7,41,23.4,24,4.784,41
8.9,41,22.2,24,6.257,41
4,42,24,24,0.017,41
8.5,41,23.9,24,2.863,41
8.2,41,23.9,24,2.832,41
8.5,41,24.1,24,2.845,41
8.4,41,24.1,24,2.811,41
9.5,41,24,24,2.794,41
8.8,41,24,24,2.852,41
8.8,41,24,24,2.834,41
8.6,41,24,24,2.855,41
8.4,41,24,24,2.795,41
8.2,41,24,24,2.821,41
8.4,41,24,24,2.832,41
8.6,41,24,24,2.824,41
9.8,41,23.9,24,2.798,41
4.2,40,18.5,24,1.169,42
4.4,42,21.9,24,2.256,42
4.1,42,23.1,24,2.256,42
4.4,42,23.4,24,2.256,42
4.2,42,23.6,24,2.23,42
4.6,42,23.8,24,2.154,42
4.9,42,24,24,2.115,42
4.8,42,24,24,1.909,42
4.4,42,24.1,24,1.871,42
4.3,42,24.2,24,1.822,42
4.5,42,24.2,24,1.94,42
4.2,42,24.1,24,1.862,42
4.6,42,24.1,24,1.843,42
5.1,42,24.2,24,2.299,42
5.2,42,24.2,24,2.246,42
4.4,42,24.1,24,2.251,42
4.5,42,24.2,24,2.244,42
4.8,42,24.2,24,2.244,42
5.1,42,24.2,24,2.213,42
6.8,42,24.2,24,2.335,42
6.8,42,24.2,24,2.313,42
6.2,42,24.2,24,2.199,42
7.6,42,24.1,24,2.245,42
10.7,42,24.2,24,2.237,42
11.7,42,24.2,24,2.182,42
13.1,42,24.3,24,2.216,42
12.6,42,24.1,24,2.278,42
12.5,42,24,24,2.319,42
12.5,42,24,24,2.318,42
14.6,42,24,24,2.397,42
15.9,42,24,24,2.488,41
